"","Title","Notes","positive","negative","score","topic"
"12","Statistical graphics: making information clear – and beautiful","&;&;&; <U+2043>&;&; &;A well-designed graph can make clear what an ill-thought-out one conceals.&;&; &;<U+2043>&;&; &;When producing-quality figures, every decision needs to be made consciously and with intent.&;&; &;<U+2043>&;&; &;Who is your target audience? &;&;&; &;<U+2043>&;&; &;What are you trying to show?&;&; &;<U+2043>&;&; &;In the example, show the timing of the WHO’s mass vaccination campaign relative to the outbreak in order to provide public health officials with a retrospective view of the policy decision&;&; &;<U+2043>&;&; &;number of infected individuals at a given time is more important than the total number of cases = plot confirmed cases&;&; &;<U+2043>&;&; &;2-types of audiences: 1) officials into those who are interested in this particular outbreak and 2) hose who are interested in lessons learned from this outbreak that will inform future policy = two things to show&;&; &;<U+2043>&;&; &;Guiding principles along for graphs:&;&; &;<U+2043>&;&; &;Avoid distracting elements.&;&; &;<U+2043>&;&; &;Use informative colour to visually associate elements.&;&; &;<U+2043>&;&; &;Keep the figure simple (and therefore interpretable)&;&; &;<U+2043>&;&; &;A successful chart “conveys information as well as containing it”&;&; &;<U+2043>&;&; &;A second set of guiding principles:&;&; &;<U+2043>&;&; &;Keep the x- and y-axes on the same scale. &;&;&; &;<U+2043>&;&; &;Eliminate repetitive information.&;&; &;<U+2043>&;&; &;Maintain consistency across plots.&;&; &;<U+2043>&;&; &;generally speaking, start with exploratory plots and then move towards presentation-quality graphs. But in some cases the visually attractive overview sets the stage for more focused data exploration",3,6,-3,2
"13","Junkcharts Trifecta Checkup: The Definitive Guide","junkcharts trifecta is a framework for visual data criticism 3 questions: 1. what is the question? 2. what does the data say? 3. what does the visual say? ideally, these should all have the same results. typologies 0. the trifecta - everything in sync 1. the singles - 1a) type Q - poorly defined objective 1b) Type D - data fail to illuminate the question 1c) Type V - visual design hides or confuses the message 2. doubles - 2a) Tupe QD - poor data quality and unclear objective 2b) Type QV - undefined question and poor graphic design 2c) Type DV - unconvincing data and poor graphics 3. triple - Type QDV - nothing right &;",2,9,-7,2
"14","Big Data in Education","Video 1 clustering and factor analysis clustering: type of structure discovery element-large # data points-want to find structure of data points-don’t know anything about structure beforehand tries to find data points that group together centroids represent center of space -usually chosen randomly then refined convergence-repeating refining process until centroids stop moving; Video 2 how do we choose which clusters to choose after randomized restarts?-distortion/mean squared deviation &;&; &;-take each point P&;&; &;-find centroid of P’s cluster C&;&; &;-find distance D from C to P&;&; &;-square D to get D’&;&; &;-sum all D’ to get Distortion -doesn’t work for choosing cluster size b.c more clusters almost always leads to smaller Distortion",2,2,0,1
"15","Chapter 3: Measurement and its Uses in Learning Analytics","Psychological measurement typically comprises: 1. defining a construct -term construct used interchangeably with latent variable while trait is a construct stable over time -Operationalist view: measurement requires comparison with a reference point - forces redefinition of the construct for every instrument used to measure it -model-based reasoning accepts simplified representations of a system -examples are SAT which we know is a flawed measurement system but it is designed and accepted to measure something 2. specifying a measurement model and (developing) a reliable instrument -typically tests or questionnaires made up of indicators -balancing efficiency and standardization 3. analyzing and accounting for various sources of error -not consistent and may not accurately reflect someone's abilities etc. -systematic, user, and latent error all possible -measurement models are formal mathematical relationships b/w latent and observable variables 4. framing a valid argument for uses of the outcome Measuring knowledge/skills/feeling difficult but increasingly discussed High-stakes consequences like tracking based on psychological measurement What error can be tolerated when stakes are so high? What ways can we avoid misunderstanding learning or diminishing learner experiences? 4 types of latent variable models: 1. factor analysis: latent continuous/observed continuous -models linear relationships 2. latent mixture: latent categorical/observed continuous -understanding distributions 3. item response: latent continuous/observed categorical -models individual person-item interactions rather than total test scores 4. latent class: latent categorical/observed categorical -understanding distributions Use of a model depends on the error, use goodness of fit tests to evaluate consistency b/w observed data and model  explanatory power plays the role of determining the truer model, but does not always point in the same direction as predictive power -- LA occupies the middle space between these two ideas &;",2,7,-5,5
"16","Chapter 4: Ethics and Learning Analytics: Charting the (Un)Charted","Fears and realities about privacy/surveillance often lead people to be hesitant about data collection Because the field is emerging, ethics standards need to be developed/maintained as the field grows to encourage good practice General consensus that education will be increasingly influenced by data collection and advanced machine learning/human learning analysis/support There are a lot of economic benefits to educational benefits of data harvesting so ethical implications come up for managing interests of different stakeholders with the risk/harm resulting from the collection and analysis of student data  Issues affecting ethical use of LA: 1. location and interpretation of data 2. informed consent, privacy, and de-identification of data 3. management, classification, and storage of data Development of a thorough understanding of the stakeholders and the conditions under which they would benefit; issues around vulnerability; systems of redress; storage; governance are some of the practical considerations LA proposes theoretical opportunities for institutions to mitigate risks but resources are limited Increasing awareness of LA being used to do something to the student without that student's knowledge triggers issues of accountability -challenged assumptions of objectivity and accuracy -raised need to focus on building appropriate framework for student-centered LA: output subject to student review, students able to ensure security of their personal data, full knowledge of its collection and use, no harm to student progress How do these issues align with the perceptions about how people share their personal information as a cultural norm?  Importance of 'informed consent' to data collection/use and transparency &;",6,5,1,2
"17","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","Network concepts social network basics: SNA aims to understand the determinants,structure, and consequences of relationships between actors network types: unipartite (or sometimes monopartite or one-mode)/ bipartite (or sometimes two-mode); undirected/directed; binary/valued network data collection: Network data collection(and subsequent analyses) can be categorized, then,by whether it considers a static network, a cross-sectionalrealization of an implicitly dynamic network, or an explicitlydynamic network-ego centric, whole, census  network level concepts and measures: density (how many ties are present); patterns of who is connected with whom; homophily; patterns of social selection and social influence diads/triads transitivity: likelihood of student A being tied to C, giventhat A is tied to B and B is tied to C. -transitive triads/ cyclical triads actor-level variables: centrality, degree, betweeness, eigenvecotr centrality, indegree, outdegree, In performing SNA, visualizing the network is often the firststep taken. Using sociographs, with nodal attributes representedby different colors, shapes, and sizes, we will be ableto begin qualitatively assessing a priori hypotheses and derivingnew hypotheses (8)",0,1,-1,4
"18","Why Is Measuring Learning So Difficult?","Why is measuring learning so difficult? Learning is very multidimensional: what do you count as noise and what do you count as signal? sometimes you have to simplify learning too much in order to analyze it it is very personal difficult to define/measure as cultural construct can measure particular behavioral outputs no trusted reliable proxies we often don't know what people's competencies are coming into places like MOOCs  analytics should reveal something to the learner; be a doorway to suggest what else is possible ",2,2,0,1
"19","Why Students Should Own Their Educational Data","most learners have ""jagged profile"" of learning traits (i.e. high science interest w/ low reading skill) standardized teaching does not account for these patterns but assumes average skill across learners suggests detailed data on students can help customize individual learning experience to account for these jagged profiles learning style theory comes from analyzing learning over a population but doesn't necessarily hold when applied to the individual - highly contextual MOOCs understand that data is important for this purpose (contextualizing ed) but they hoard it as part of their business model - there needs to be more transparency in the education market ",2,1,1,2
"20","How to Display Data Badly","balance too much and too little data (method for figuring this out was called ddi -data density index- and was the number of numbers plotted per square inch) rule 1 - minimize data density -- demonstrates efficiency and clarity  rule 2 - minimize data-ink ratio -- ration of the amount of ink used in graphing the data to the total amount of ink to the page, closer to 0 the worse the graph rule 3 - ignore the visual metaphor rule 4 - only order matters -- use length as the visual metaphor when area is what is being perceived rule 5 - graph data out of context rule 6 - change scales mid axis rule 7 - emphasize the trivial and ignore the important rule 8 - jiggle the baseline -- can always make the graph worse by starting from different bases rule 9 - austria first rule 10 - label a. illegibly, b. incompetently, c. incorrectly, and d. ambiguously rule 11 - more is murkier: a. more decimal places and b. more dimensions  rule 12 - if it has been done well in the past, think of another way to do it &;",1,4,-3,3
"21","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","Key Notes: Network analysis can inform our understanding of student network formation in classrooms and the types of impacts these networks have on students. This set of theoretical and methodological approaches can help to answer questions about pedagogy, equity, learning, and educational policy and organization.     Network analysis entails two broad classes of hypotheses: those that seek to understand what influences the formation of relational ties in a given population (e.g., having the same major, having relational partners in common), and those that consider the influence that the structure of ties has on shaping outcomes, at either the individual level (e.g., grade point average [GPA] or socioeco- nomic status) or the population level (e.g., graduation rates or retention in science, technology, engineering, and mathe- matics [STEM] disciplines).     The importance of relationships and emergent structures formed by relationships makes SNA different from other re- search paradigms, which often focus solely on the attributes of actors.      Networks that consist of only one type of actor (e.g., students) are referred to as unipartite (or sometimes monopartite or one-mode). While not discussed in detail here, bipartite (or sometimes two-mode) networks are also possible, linking actors with the groups to which they belong.     Ties can also be binary or valued. Binary ties represent whether or not a relation exists, while valued ties include additional quantitative information about the relation. For example, a binary network of student study relations would indicate whether or not student A studied with student B, while a valued network would include the number of hours they studied together.     Degree centrality is often useful for examining the equity or inequity in the number of ties be- tween individuals and can be done by looking at the degree distribution, which shows the distribution of degrees over an entire network. Betweenness centrality focuses on whether actors serve as bridges in the shortest paths between two actors. Actors with high betweenness centrality have a high probability of existing as a link on the shortest path (geodesic) between any two actors in a network.     Closeness centrality focuses on how close one actor is to other actors on average, measured along geodesics. It is important to keep in mind that closeness centrality is poorly suited for discon- nected networks (networks in which many actors have zero ties or groups of actors have no connection to other groups). Eigenvector centrality places importance on being connected to other well-connected individual.    Our main interest in these analy- ses will be how study networks form in a classroom and the impacts these networks have on students.                      ",0,1,-1,4
"22","Why Students Should Own Their Educational Data","Key notes: ""What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts.""   ""you’ve got to have a third party who is responsible for protecting learner data. Then the student could have, say, a decade of data about the way that they’re learning.""",2,0,2,2
"23","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Key notes: ""The EDM community brings together  an inter-disciplinary community of computer scientists,  learning scientists, psychometricians, and researchers from other traditions. "" ""“Educational Data Mining is an emerging discipline,  concerned  with developing methods for exploring  the  unique types of data that come from educational  settings, and  using those methods to better understand students, and the settings which they learn in.”   “... the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning  and the environments in which it occurs.”  ""EDM has a considerably greater focus  on  automated discovery, and LAK  has a considerably greater focus on  leveraging human judgment. "" ""EDM models are more often used as the basis of automated  adaptation, conducted by a computer system such as an intelligent tutoring system. By  contrast, LAK models are more often designed to  inform and empower instructors and learners."" ""A third difference, and an important one, is the   distinction between  holistic and reductionistic   frameworks. It is much  more  typical  in EDM research to see research which reduces phenomena  to components  and  an alyzing  individual components  and  relationships  between  them. The  “discovery  with  models” paradigm for EDM research discussed in is a clear example of this paradigm. By  contrast, L AK  researchers  typically  place a stronger emphasis on attempting to understand systems as wholes, in their full complexity.""",3,1,2,2
"24","Evaluating Machine Learning Models","Key Notes: Classification is about predicting class labels given input data. accuracy = # correct predictions/# total data points Accuracy is an example of what’s known  as  a  micro-average,  and  average  per-class  accuracy  is  a macro-average. Precision  answers  the  question,  “Out  of  the  items  that  the ranker/classifier  predicted  to  be  relevant,  how  many  are  truly  relevant?”  Whereas,  recall  answers  the  question,  “Out  of  all  the  items that  are  truly  relevant,  how  many  are  found  by  the  ranker/classifier?”",1,0,1,5
"25","Why Is Measuring Learning So Difficult?","Key Notes: Education is personal, hard to define, and hard to measure.  ",0,2,-2,1
"26","Saturday Morning Breakfast Cereal","Key Notes: Information gets diffuse and misconstrued  ",0,0,0,2
"27","Data wranglers: human interpreters to help close the feedback loop","Key notes: ""Learning  Design  can  provide an account of pedagogical  intent that can provide useful context  for  interpreting learning analytics, and earning   analytics can provide particularly useful insight to  underpin the  process of Learning Design. So, for instance, some Data Wranglers  were  able to  attend  or even facilitate Learning  Design workshops, to help the process of closing the feedback loop."" ""A  less  positive  theme was the unevenness of the  process  across Faculties. The reports were all produced to the same template, and  based on the same  data  sources, but the  analysis and recommendations varied, as  did  the  quality of the  conversation between the Data Wrangler and Faculty members. Other concerns  raised  included the  timing of the  reports and  which courses were included"" ""Perhaps  the  largest  issue  was  data  quality. One  serious  misinterpretation of VLE/LMS  activity  data arose  during  the  project,  and  the  quality  and  resolution  of  the  delivery data was  perceived as a serious  obstacle""",1,4,-3,1
"28","Zuckerberg is ploughing billions into 'personalised learning' – why?","Key Notes: Zuckerberg has a clear definition in mind, however. For him, personalized learning is about teachers “working with students to customize instruction to meet the student’s individual needs and interests”. Although the Chan Zuckerberg Initiative’s Personalized Learning Platform is not part of Facebook, the underlying principles are the same: human work is replaced by technology, algorithms provide users with content based on an analysis of their past behavior and demonstrated interests Too specialized of a focus- not well rounded Children’s preferences are not fixed – in fact they often change as immediate responses to the environment. To predict content relevant for children there needs to be sensitive, human-directed input – not automation. Otherwise we end up with what might be called de-personalized learning, and classrooms with little conversation between student and teacher.    ",5,0,5,2
"29","The R Markdown Cheat sheet","Key Notes: Good for embedded code and rendering Shows workflow process  ",1,0,1,1
"30","Translating Learning into Numbers: A Generic Framework for Learning Analytics","Key Notes: ""The proliferation of interactive learning environments, learning management systems (LMS), intelligent tutoring systems, e-portfolio systems, and personal learning environments (PLE) in all sectors of education produces vast amounts of tracking data. But, although these e-learning environments store user data automatically, exploitation of the data for learning and teaching is still very limited. These educational datasets offer unused opportunities for the evaluation of learning theories, learner feedback and support, early warning systems, learning technology, and the development of future learning applications. This leads to the importance of Learning Analytics (LA) being increasingly recognised by governments, educators, funding agencies, research institutes, and software providers.""""   ""By soft issues we mean challenges that depend on assumptions being made about humans or the society in general, e.g., competences or ethics. They are opposed by the hard challenges of the fact-based world of data and algorithm""    ""Apart from support for reflective practice, LA can also be used for predicting and modelling learner activities (Siemens, 2011; Verbert et al., 2011). This can lead to earlier intervention (e.g., to prevent drop-out), or to adaptive services and curricula.""   ""With respect to pedagogic theories, we would like to argue that LA does neither support nor ignore specific pedagogic theories, and as an abstract concept is pedagogically neutral. Indeed, we are of the opinion that LA can be used to evaluate different pedagogic strategies and their effects on learning and teaching through the analysis of learner data.""   ""LA strongly relies on data about learners and one of the major challenges LA researchers are facing is the availability of publicly available datasets to evaluate their LA methods. Most of the data produced in institutions is protected, and the protection of student data and created learning artefacts is a high priority for IT services departments.""   ""Like in related research domains, LA datasets create a new set of challenges for research and practice. These include:       <U+0010FC00>  A lack of common dataset formats like the suggested one from the CEN/ISSS PT social data group (cf. CAM Schema at: https://sites.google.com/site/camschema/home; and Wolpers et al., 2007).    <U+0010FC00>  The need for version control and a common reference system to distinguish and point to different datasets.    <U+0010FC00>  Methods to anonymise and pre-process data according to privacy and legal protection rights (Drachsler et al., 2010).    <U+0010FC00>  A standardised documentation of datasets so that others can make proper use of it like that promoted by the data-seal-of-approval initiative (cf. http://www.datasealofapproval.org).    <U+0010FC00>  Data policies (licences) that regulate how users can use and share certain datasets. For instance, the Creative  Commons licensing rights could be considered as a standard way to grant permissions to datasets. DataCite (Brase, 2009) is an organization that enables to register research datasets and to assign licensing rights to them, so that the datasets can be referenced similar to academic articles. From a technical point of view, idealised datasets probably remain the biggest challenge for analytics. This is to say that the assumption that datasets consist of context-free, meaningful and only meaningful data, is highly optimistic. In most natural settings, users “pollute” databases by producing erroneous or incomplete datasets.""   ""Similarly, data collection often leads to “enmeshed identities” being used for analytics and prediction. A dataset cannot typically distinguish between a single individual and a shared presence in the learning space (group work on a single device). Students who often work together with others on shared devices (laptops, smartphone, lab space, etc.) produce enmeshed fingerprints in their educational data.""   ""Additionally, from a pedagogic perspective, it remains an on-going challenge to formulate indicators from the available datasets that bear relevance for the evaluation of the learning process. The selection of specific data and their weighting (under the methods applied in the “instruments” dimension) against the real behaviour of students is of greatest importance, as is the process of relating behaviour pattern data to cognitive developments.""   ""Further research on LA can contribute to decrease the drop-out rate by developing e.g., a Drop-out Analyser that notifies the teacher of a course in time which students are in danger of falling behind or dropping out. This could be done by using LMS datasets and train a certain information retrieval technology (e.g., a Bayesian classifier) on the datasets to learn behavioural patterns of students that dropped out.""   ""Many different kinds of constraints can limit the beneficial application of LA processes, some being “softer” than others. It has been suggested to us to identify them as ethical, legal, and social constraints, but also to feature organisational, managerial, and process constraints. This we find a useful subdivision of external limitations, but other divisions look equally logical. In the abstraction of the diagram above (cf. Figure 1), we propose the preliminary distinction of conventions, under which we count ethics, personal privacy, and similar socially motivated limitations, and, norms that are restricted by laws or specific mandated policies or standards.""   ""On institutional level, educational and student data was traditionally handled separately, and is legally something of a blind spot. Registration data was kept and maintained by registry staff, IT data by IT staff, and learning data by academic staff. To use LA to its full potential, integration of available institutional datasets needs to happen.""   ""Another ethical consideration is the acceptance of divergence in the data constituency (AoIR, 2002). We already touched upon the danger that the result of algorithmic analysis, consequent policies and exercised pressures may aim at uniformity and at mainstreaming learning and teaching processes, thereby greatly harming creative processes and innovation that diverge from the statistical mean.""   ""In order to make LA an effective tool for educational practice, it is important to recognise that LA ends with the presentation of algorithmically attained results that require interpretation (Reffay &amp; Chanier, 2003; Mazza &amp; Milani, 2005). There are innumerable ways to present and to interpret data and base consecutive decisions and actions on it, but only some of them will lead to benefits and to improved learning"" ""LA has been effectively used for behaviourist-instructivist style approaches (but see the critical reflection by Pardo &amp; Kloos, 2011), but there is as yet little evidence for the support of constructivist approaches to learning (Duffy &amp; Cunningham, 2001), where learning is seen as an active cognitive process in which learners construct their own concepts of the world around them. In LA, the latter is mostly inferred indirectly, by relating grades of learning outcomes with activities during the learning process (Dawson, 2012). In these correlations, it emerges that active students get better results.""   ""In our model, LA can work in support of a multitude of pedagogic strategies and learning activities as manifested and represented by the available data. This means we can only see pedagogies through the data. Because of this, we do not include them as part of the analytics process (Figure 1) but as implicitly contained in the input datasets that encapsulate the pedagogic behaviour of users.""   ""Additionally, pedagogy can be explicitly addressed in the goals and objectives that the LA designer sets (“objectives” dimension). The LA method (“instruments” dimension) will determine the outcome of the analysis and together with the interpretation applied may lead to a large variety of options for consequences and interventions""    ""It is therefore our conviction that only the consideration of all six dimensions in the design process can lead to optimal exploitation of LA. Additionally, substantial work on new ethical guidance, data curation, and ownership needs to happen at universities and in legislation to reduce the risks connected to the application of LA and to protect the data subject, usually the learner.""   ""In its most optimistic outlook, learners will be provided with personal information about their current needs, while, at the same time, the educational system will be evolved from a “one- size-fits-all” approach into a highly personal competence-driven educational experience. But this view is not without flaws, because of the real dangers that the extended and organised collection of learner data may not so much bring added benefits to the individual, but instead provides a tool for HEIs, companies, or governments to increase manipulative control over students, employees, and citizens, thereby abusing LA as a means to reinforce segregation, peer pressure, and conformism rather than to help construct a needs-driven learning society. We therefore believe that it will be of critical importance for its acceptance that the development of LA takes a bottom-up approach focused on the interests of the learners as the main driving force.""   ",38,20,18,1
"31","Chapter 4: Handbook of Learning Analytics","Key Notes: ""Tools can be used in many ways, and should not"" ""Learning analytics, as a new form of assessment instrument, have potential to support current educational practices, or to challenge them and reshape education; considering their theoretic positioning is important in understanding the kind of education"" ""This question regards the desire for analytic insights at multiple levels of a system, and the ability of indi- vidual analytic approaches (including their outputs in various forms, such as dashboards) to support the following: 1) individual students in developing their learning; 2) educators in developing their own practice and in targeting their support at individual student needs; and 3) administrators in understanding""  ""First, analytics that require particular forms of technology or participation may create new divides between student cohorts, or - entrench existing divides. Second, there is an ethical concern regarding the use of student data by not given, where no direct learning gain is directed to those students.""",6,1,5,2
"32","Chapter 1 Handbook of Learning Analytics","Key Notes:  ""by design — or else by accident — the use of a learning analytics tool is always aligned with assessment regimes, which are in turn grounded in epistemological assumptions and pedagogical practices"" "" That is the question of epistemology: it concerns the nature of the constructs, why they kind required for a claim of knowledge to be made"" ""This question regards the desire for analytic insights at multiple levels of a system, and the ability of individual analytic approaches (including their outputs in various forms, such as dashboards) to support the following: 1) individual students in developing their learning; 2) educators in developing their own practice and in targeting their support at individual student needs; and 3) administrators in understanding""",3,1,2,2
"33","How to Display Data Badly","Key Notes: Good displays of data show data, show data accurately, and show data clearly.   Bad data displays: 1) show as few data as possible 2) Hide what data you do show 3) Ignore visual metaphor 4) Only order matters 5) Graph data out of context 6) Change scales in mid-axis 7) Emphasize trivial and ignore the important 8) Jiggle the baseline 9) Austra first (alphabetically ordering) 10) Label illegibly, incompletely, incorrectly, and ambiguously 11) More decimal places and more dimensions",3,3,0,3
"34","Statistical graphics: making information clear – and beautiful, Significance","Key Notes: Information visuals = infovis Avoid distracting elements. Use informative color to visually associate  elements. Keep the figure simple (and  therefore interpretable) Keep the  x - and  y -axes on the same scale.  Eliminate repetitive information. Maintain consistency across plots.",0,1,-1,2
